Marker,Source,MeanOfMeans,SDOfMeans,CVOfMeans
CD19,MFI,196315.12855555557,23655.423804251266,0.12049720252485267
CD19,PCT,13.282733333333333,4.145860834526317,0.31212407344820975
CD2,MFI,28215.227555555557,6322.360287484458,0.2240761757117068
CD2,PCT,81.7919111111111,3.1606240987860548,0.0386422576004181
CD3,MFI,35559.44306666667,8071.869310093363,0.22699650539971233
CD3,PCT,73.64222222222222,7.519760551579181,0.10211208087783674
CD4,MFI,69597.87284444444,6452.724894803993,0.09271439817171184
CD4,PCT,51.96686666666667,5.617853643892614,0.10810452898627614
CD5,MFI,8496.100933333333,1120.5920725820163,0.13189486346443
CD5,PCT,75.1716,8.170957659771451,0.10869740247342682
CD56,MFI,44679.89251111111,14163.901394042974,0.3170084035121763
CD56,PCT,17.7238,9.654477467750839,0.5447182583729696
CD57,MFI,142723.8385777778,98834.82474409675,0.6924899563308509
CD57,PCT,15.196288888888889,12.984701025903476,0.8544652658845894
CD7,MFI,33515.26448888889,17311.592613322693,0.5165285990525869
CD7,PCT,79.7252,6.546019003850011,0.0821072760413271
CD8,MFI,35047.403511111115,11502.572547757063,0.32820041987162873
CD8,PCT,26.3614,6.901799671636914,0.2618146104393892
HLADR,MFI,27485.0304,8149.728083287175,0.2965151562389094
HLADR,PCT,16.212755555555557,3.8330352906679805,0.23642096357608566
LyCD45,MFI,97276.81428888888,10289.33589959659,0.10577377533190717
LyCD45,PCT,27.01053333333333,3.5978669275551396,0.13320236528299353
TRBC1,MFI,60634.13193333333,9984.686561579094,0.16467105643661503
TRBC1,PCT,35.35004444444444,2.664872117933292,0.07538525509130156
